,name,description,category,img_urls
5248,Abrigo perfume,Abrigo lana cruzado,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37059081_70-99999999_01.jpg?ts=1662656405967
5249,Abrigo perfume,Abrigo lana cruzado,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37059081_88-99999999_01.jpg?ts=1664888660274
5250,Americana justo,Americana traje doble botonadura,chaquetas y americanas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37004382_43-99999999_01.jpg?ts=1657012243471
5251,Falda grunge,Falda tablas estampada,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035131_94_D1.jpg?ts=1654095094904
5252,Falda grunge,Falda tablas estampada,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035131_99_D1.jpg?ts=1655455975676
5253,Jeans biker,Jeans skinny estilo biker,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37007764_TN_D1.jpg?ts=1663577629472
5254,Mono cobra,Mono estampado geométrico,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37083849_99-99999999_01.jpg?ts=1655466638671
5255,Jersey gildac,Jersey canalé cuello vuelto,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37065921_05-99999999_01.jpg?ts=1660114116642
5256,Jersey gildac,Jersey canalé cuello vuelto,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37065921_96-99999999_01.jpg?ts=1666681681645
5257,Jersey gildac,Jersey canalé cuello vuelto,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37065921_50-99999999_01.jpg?ts=1660646960639
5258,Sandalia aussie,Sandalia pulsera tobillo,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37094378_99-99999999_01.jpg?ts=1659098963018
5262,Blusa sweety,Blusa fluida lazo,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37004041_02_D2.jpg?ts=1657036301630
5266,Vestido wings2,Vestido rayas satinado,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37007773_99_D6.jpg?ts=1662987251733
5267,Vestido esmerald-a,Vestido detalle fruncido,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37001062_43-99999999_01.jpg?ts=1654253531612
5268,Vestido esmerald-a,Vestido detalle fruncido,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37001062_52-99999999_01.jpg?ts=1663319417637
5269,Vestido lio,Vestido flores lúrex,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37010475_05-99999999_01.jpg?ts=1653400080316
5277,Jersey bambi,Jersey trenzado cuello perkins,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37099085_43-99999999_01.jpg?ts=1665054168450
5278,Jersey bambi,Jersey trenzado cuello perkins,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37099085_85-99999999_01.jpg?ts=1665064970549
